epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,27636.8,3.21331,4.98442,5.22798,1.4357,0.5408,0.44618,0.44057,0.16404,0.51746,0.40554,0.39492,0.13427,3.62224,5.77715,6.13427,1.7693,0.0002774,0.0002774,0.0002774
89,27968.5,3.22607,5.00386,5.25427,1.4373,0.54058,0.44915,0.44469,0.16645,0.5229,0.41123,0.40225,0.13891,3.60678,5.73814,6.09777,1.76173,0.0002576,0.0002576,0.0002576
90,28276.9,3.21722,5.01074,5.23863,1.44533,0.53844,0.4476,0.44355,0.16435,0.52155,0.40857,0.40116,0.13716,3.62887,5.78179,6.11271,1.75253,0.0002378,0.0002378,0.0002378
91,28479.9,3.25727,5.05133,5.41982,1.48513,0.546,0.43859,0.43508,0.16114,0.51586,0.3889,0.38154,0.12985,3.65281,5.83813,6.13037,1.79612,0.000218,0.000218,0.000218
92,28677.7,3.21793,4.98275,5.30643,1.47564,0.54338,0.44496,0.44201,0.16444,0.51816,0.40556,0.39614,0.13503,3.61461,5.75555,6.12412,1.76933,0.0001982,0.0001982,0.0001982
93,28884.2,3.19803,4.96062,5.29896,1.46877,0.53993,0.4487,0.44493,0.1673,0.52213,0.41116,0.40248,0.13991,3.59495,5.72737,6.07537,1.7543,0.0001784,0.0001784,0.0001784
94,29094.1,3.20769,4.96884,5.25809,1.47386,0.54047,0.44908,0.44481,0.16639,0.52019,0.41056,0.40188,0.13926,3.60872,5.75375,6.06787,1.75895,0.0001586,0.0001586,0.0001586
95,29294.2,3.19022,4.94697,5.26162,1.46708,0.54316,0.45073,0.44598,0.167,0.52335,0.41038,0.40026,0.13779,3.60919,5.74873,6.06611,1.7621,0.0001388,0.0001388,0.0001388
96,29497.6,3.18627,4.94727,5.24108,1.46594,0.53932,0.44602,0.4402,0.16284,0.51572,0.40751,0.39572,0.13467,3.63897,5.78329,6.08892,1.76906,0.000119,0.000119,0.000119
97,29693.3,3.18434,4.92724,5.20174,1.46258,0.54146,0.45015,0.44404,0.1645,0.51828,0.41283,0.40005,0.13661,3.62595,5.75854,6.0671,1.76719,9.92e-05,9.92e-05,9.92e-05
98,29879.9,3.18769,4.94359,5.24437,1.46905,0.54446,0.44703,0.44439,0.1662,0.51817,0.40653,0.39713,0.13649,3.60795,5.74124,6.06096,1.76908,7.94e-05,7.94e-05,7.94e-05
99,30076.7,3.16443,4.91179,5.18633,1.46019,0.54107,0.4491,0.44493,0.16563,0.52024,0.41266,0.40155,0.13799,3.60743,5.7411,6.08837,1.7585,5.96e-05,5.96e-05,5.96e-05
100,30280.3,3.16344,4.90586,5.18667,1.46025,0.54293,0.45296,0.44893,0.16845,0.52248,0.4205,0.40864,0.14151,3.60313,5.72313,6.0233,1.75213,3.98e-05,3.98e-05,3.98e-05
